#{"t_start": 1685843122.8788593, "env_id": null}
r,l,t
-4845.315621,9,2.271204
-4489.826965,53,7.538047
-4848.613572,26,10.138208
-4667.476489,49,15.004679
-4841.8577,26,17.60419
-4867.563546,23,19.921623
-4862.511538,25,22.370742
-4170.014363,101,32.404639
-4855.188008,23,34.721612
-4765.337402,36,38.321292
-4862.371451,26,40.920777
-4857.470603,26,43.487605
-4210.276859,101,53.520486
-4895.670906,19,55.403646
-4484.210626,65,61.837584
-4768.716041,38,65.637655
-4860.236966,25,68.103456
-4567.272113,65,74.603356
-4865.169352,25,77.070554
-4838.569153,25,79.570414
-4153.159127,101,89.603659
-4777.374456,37,93.270145
-4853.531902,27,95.937328
-4870.728842,22,98.170821
-4281.383972,101,108.203099
-4175.884967,101,118.236126
-4761.382045,38,121.986985
-4869.654994,24,124.336142
-4218.485494,101,134.386389
-4837.258393,28,137.185877
-4198.184187,101,147.219348
-4765.53811,35,150.823239
-4142.818138,102,160.869241
-4853.330642,24,163.21929
-4143.072112,101,173.269022
-4068.264554,101,183.302569
-4718.004683,39,187.135959
-4593.239443,59,193.002282
-4337.75573,77,200.719195
-4189.114004,101,210.769317
-4846.504027,27,213.46913
-4113.028635,101,223.502489
-4804.043996,28,226.302368
-4786.034538,35,229.768896
-4241.013776,101,239.801608
-4078.616621,101,249.834592
-4872.014077,23,252.118434
-4679.600822,52,257.284803
-4858.251191,26,259.902084
-4107.812714,101,269.951259
-4861.13687,21,272.051321
-4810.86985,22,274.268299
-4236.903706,101,284.301199
-4255.986643,101,294.351178
-4200.921001,101,304.384513
-4207.4513,101,314.417319
-3685.385051,101,324.467286
-4265.43412,101,334.500666
-4127.860739,101,344.550737
-4258.657365,101,354.58391
-4034.218029,101,364.616487
-3851.965488,101,374.667053
-3941.75433,101,384.69983
-4741.176722,38,388.467042
-4431.084093,51,393.566393
-4168.009803,101,403.599915
-3766.778623,101,413.649961
-4147.069113,101,423.683323
-4083.851909,101,433.716564
-3582.747955,101,443.765488
-4336.439395,60,449.749262
-3856.744388,101,459.782383
-4859.168116,16,461.382909
-3994.508106,101,471.415021
-4843.304801,24,473.79876
-4771.338026,35,477.298957
-4360.582181,69,484.18177
-4098.142171,101,494.215947
-4861.338294,16,495.781439
-4741.627976,35,499.282478
-3819.600639,101,509.31463
-4763.589462,36,512.8983
-3980.971616,101,522.948328
-4071.256264,101,532.981347
-4257.87313,101,543.031094
-4103.36465,101,553.064827
-4150.926802,101,563.097403
-4145.325231,101,573.147647
-3972.752307,101,583.180238
-4201.850956,101,593.231121
-4835.13461,26,595.797687
-4305.745667,101,605.847454
-4762.789512,25,608.330267
-4123.579023,101,618.36323
-4113.126978,101,628.397032
-4834.618965,20,630.379788
-4627.739193,56,635.946443
-4136.589085,101,645.979771
-4854.221848,21,648.063565
-4008.617713,101,658.096592
-4238.640618,101,668.147018
-4150.074204,101,678.179769
-4061.269682,101,688.229641
-4232.097226,101,698.26251
-4194.945563,101,708.295468
-4173.023479,101,718.34577
-4242.137887,101,728.378806
